update,timeToCoalescence,ID,accuracy_AVE,accuracy_LIST,alive,genomeLength,optimizeValue,sGained_AVE,sGained_LIST,sLost_AVE,sLost_LIST,score_AVE,score_LIST,timeOfBirth,totalBuilt_AVE,totalBuilt_LIST,totalFF_AVE,totalFF_LIST,totalGotHit_AVE,totalGotHit_LIST,totalHarvest_AVE,totalHarvest_LIST,totalShots_AVE,totalShots_LIST,totalStructFF_AVE,totalStructFF_LIST,totalStructGotHit_AVE,totalStructGotHit_LIST,totalStructHit_AVE,totalStructHit_LIST,totalSuccessfulShots_AVE,totalSuccessfulShots_LIST,totalSwitch_AVE,totalSwitch_LIST
0,0,6,91.666667,"[91.666667]",1,5000,10.003000,33.003000,"[33.003000]",46.000000,"[46.000000]",10.003000,"[10.003000]",-1,2.000000,"[2]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",12.000000,"[12]",1.000000,"[1]",1.000000,"[1]",0.000000,"[0]",11.000000,"[11]",2.000000,"[2]"
100,0,30313,0.000000,"[0.000000]",1,3126,0.007000,0.007000,"[0.007000]",0.000000,"[0.000000]",0.007000,"[0.007000]",100,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]"
200,0,60333,0.000000,"[0.000000]",1,2391,127.226000,132.226000,"[132.226000]",10.000000,"[10.000000]",127.226000,"[127.226000]",200,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",66.000000,"[66]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
300,0,90391,0.000000,"[0.000000]",1,1588,169.050000,174.050000,"[174.050000]",10.000000,"[10.000000]",169.050000,"[169.050000]",300,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",87.000000,"[87]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
400,0,120397,0.000000,"[0.000000]",1,1914,225.035000,230.035000,"[230.035000]",10.000000,"[10.000000]",225.035000,"[225.035000]",400,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",115.000000,"[115]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
500,0,150355,0.000000,"[0.000000]",1,1691,147.079000,152.079000,"[152.079000]",10.000000,"[10.000000]",147.079000,"[147.079000]",500,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",76.000000,"[76]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
600,0,180315,0.000000,"[0.000000]",1,1691,285.064000,290.064000,"[290.064000]",10.000000,"[10.000000]",285.064000,"[285.064000]",600,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",145.000000,"[145]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
700,0,210341,0.000000,"[0.000000]",1,2736,369.073000,374.073000,"[374.073000]",10.000000,"[10.000000]",369.073000,"[369.073000]",700,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",187.000000,"[187]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
800,0,240343,0.000000,"[0.000000]",1,3237,337.073000,342.073000,"[342.073000]",10.000000,"[10.000000]",337.073000,"[337.073000]",800,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",171.000000,"[171]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
900,0,270363,0.000000,"[0.000000]",1,3342,199.064000,204.064000,"[204.064000]",10.000000,"[10.000000]",199.064000,"[199.064000]",900,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",102.000000,"[102]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
1000,0,300345,0.000000,"[0.000000]",1,3292,327.061000,332.061000,"[332.061000]",10.000000,"[10.000000]",327.061000,"[327.061000]",1000,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",166.000000,"[166]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
1100,0,330373,0.000000,"[0.000000]",1,2730,334.555000,346.055000,"[346.055000]",23.000000,"[23.000000]",334.555000,"[334.555000]",1100,0.000000,"[0]",0.000000,"[0]",1.000000,"[1]",173.000000,"[173]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",4.000000,"[4]"
1200,0,360359,0.000000,"[0.000000]",1,3891,292.074000,304.074000,"[304.074000]",24.000000,"[24.000000]",292.074000,"[292.074000]",1200,0.000000,"[0]",2.000000,"[2]",2.000000,"[2]",152.000000,"[152]",2.000000,"[2]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",4.000000,"[4]"
